track_name;artists;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;track_genre
Makina;Uzi;0.830;0.780;1;-5.200;0.310;0.090;0.000;0.220;0.650;145.0;rap
Krane;Uzi;0.790;0.720;6;-6.400;0.280;0.140;0.000;0.130;0.520;138.0;rap
2020;Motive;0.760;0.680;1;-7.800;0.340;0.210;0.000;0.110;0.480;95.0;rap
Zuluf;Kardes Turkuler;0.410;0.320;5;-13.500;0.045;0.820;0.080;0.100;0.310;88.0;folk
Gesi Baglari;Selda Bagcan;0.350;0.280;4;-14.800;0.038;0.880;0.020;0.110;0.240;78.0;folk
Anlasana;Haluk Levent;0.480;0.540;2;-9.200;0.035;0.410;0.005;0.120;0.380;118.0;rock
Elfida;Haluk Levent;0.420;0.490;9;-10.100;0.032;0.580;0.000;0.100;0.290;85.0;rock
Bana Yalan Soylediler;Semiramis Pekkan;0.540;0.480;7;-11.500;0.034;0.620;0.000;0.140;0.450;102.0;nostalgia
Ikinci Bahar;Sezen Aksu;0.580;0.390;2;-12.400;0.031;0.780;0.000;0.110;0.520;94.0;pop
Seni Kimler Aldi;Sezen Aksu;0.410;0.310;6;-13.800;0.033;0.850;0.000;0.095;0.280;82.0;pop
Hoppala;Dolu Kadehi Ters Tut;0.740;0.690;1;-7.200;0.048;0.240;0.002;0.130;0.780;122.0;indie
Gitme;Dolu Kadehi Ters Tut;0.650;0.580;4;-8.400;0.042;0.380;0.010;0.110;0.540;116.0;indie
Olurum Hasretinle;Seksendort;0.450;0.620;2;-7.900;0.034;0.120;0.005;0.140;0.310;126.0;rock
Belki;Dedubluman;0.520;0.580;5;-8.100;0.038;0.410;0.080;0.120;0.340;110.0;indie
Gamzedeyim Deva Yok;Dedubluman;0.480;0.620;7;-7.400;0.040;0.350;0.120;0.150;0.390;115.0;indie
Sussun Tum Dunya;Zeynep Bastik;0.710;0.650;8;-6.800;0.052;0.210;0.000;0.120;0.680;112.0;pop
Uslanmiyor Bu;Zeynep Bastik;0.750;0.620;1;-7.200;0.049;0.320;0.000;0.110;0.720;108.0;pop
Ali Desidero;MFO;0.780;0.850;4;-5.200;0.110;0.140;0.000;0.240;0.880;135.0;pop
Benimle Oynar Misin;Bulent Ortacgil;0.540;0.280;2;-15.200;0.032;0.920;0.010;0.100;0.480;88.0;indie
Bu Su Hic Durmaz;Bulent Ortacgil;0.480;0.310;0;-14.800;0.035;0.890;0.015;0.110;0.350;92.0;indie
Sude;MFO;0.820;0.790;7;-6.100;0.058;0.240;0.005;0.180;0.940;128.0;pop
Aci Veriyor;Manga;0.590;0.730;5;-6.500;0.041;0.120;0.010;0.180;0.420;128.0;rock
Beni Benimle Birak;Duman;0.510;0.860;2;-5.100;0.038;0.050;0.002;0.150;0.390;130.0;rock
Sor Bana Pismanim Miyim;MFO;0.760;0.820;4;-5.800;0.060;0.180;0.000;0.170;0.850;124.0;pop
Yalan;Candan Ercetin;0.610;0.520;1;-8.900;0.034;0.480;0.000;0.120;0.450;108.0;pop
Bu Aksam;Duman;0.570;0.790;3;-6.200;0.045;0.080;0.004;0.200;0.370;126.0;rock
Saka Gibi;Athena;0.740;0.910;6;-4.300;0.072;0.020;0.001;0.250;0.930;142.0;ska
Ben Boyleyim;Mabel Matiz;0.660;0.540;7;-7.500;0.050;0.350;0.003;0.110;0.620;114.0;pop
Yandim;Murat Boz;0.790;0.760;2;-5.900;0.062;0.150;0.000;0.140;0.870;120.0;pop
Naber;Simge;0.810;0.710;8;-6.200;0.055;0.220;0.000;0.130;0.780;118.0;pop
Kusura Bakma;Motive;0.750;0.690;1;-7.100;0.290;0.180;0.000;0.100;0.510;96.0;rap
Cicegim;Ezhel;0.800;0.670;5;-6.700;0.210;0.120;0.000;0.150;0.730;140.0;trap
Derman;Madrigal;0.630;0.580;4;-8.000;0.040;0.300;0.012;0.120;0.540;112.0;indie
Sustum;Gripin;0.550;0.620;2;-7.600;0.035;0.250;0.005;0.140;0.350;118.0;rock
Masum Degiliz;Sezen Aksu;0.480;0.390;0;-12.100;0.031;0.760;0.000;0.100;0.280;86.0;pop
Baska Bir Gun;Adamlar;0.690;0.610;7;-7.800;0.044;0.320;0.020;0.130;0.570;116.0;indie
Yoklugunda;Gazapizm;0.720;0.640;1;-8.200;0.310;0.210;0.000;0.110;0.390;98.0;rap
Canim Cekiyor;Ati242;0.840;0.770;3;-5.400;0.260;0.090;0.000;0.180;0.720;144.0;rap
Bertaraf Et;Ceza;0.700;0.890;9;-4.700;0.350;0.040;0.000;0.250;0.610;146.0;rap
Medcezir;Levent Yuksel;0.620;0.500;5;-9.800;0.034;0.420;0.000;0.100;0.440;104.0;nostalgia
Sari Laleler;MF0;0.770;0.800;2;-5.600;0.052;0.200;0.000;0.140;0.900;126.0;pop
Tutamiyorum Zamani;MFO;0.730;0.710;1;-6.000;0.049;0.240;0.000;0.120;0.810;122.0;pop
Deli;Mor ve Otesi;0.500;0.850;6;-5.200;0.040;0.030;0.008;0.220;0.430;132.0;rock
Haydi Gel Içelim;Duman;0.560;0.830;4;-5.700;0.042;0.060;0.002;0.190;0.480;128.0;rock
Ruhum Bela;Mabel Matiz;0.700;0.600;8;-7.300;0.050;0.260;0.000;0.130;0.690;116.0;pop
Mucadelem;Norm Ender;0.690;0.730;1;-6.500;0.330;0.100;0.000;0.120;0.450;92.0;rap
Kufur;Sagopa Kajmer;0.610;0.580;3;-8.900;0.280;0.220;0.000;0.100;0.310;88.0;rap
Bir Gun Her Sey;Oguzhan Koc;0.750;0.660;2;-6.800;0.048;0.210;0.000;0.110;0.770;118.0;pop
Kalbimin Tek Sahibine;Irem Derici;0.820;0.740;6;-5.500;0.058;0.160;0.000;0.130;0.890;124.0;pop
Vazgectim;Manga;0.530;0.760;5;-6.400;0.037;0.090;0.010;0.210;0.360;129.0;rock
Baskanim;Athena;0.760;0.930;1;-4.000;0.080;0.020;0.000;0.260;0.950;148.0;ska
Tek Basina;Can Bonomo;0.670;0.610;4;-7.400;0.046;0.310;0.012;0.120;0.590;114.0;indie
Hersey Guzel Olacak;Yalin;0.780;0.700;7;-6.300;0.050;0.180;0.000;0.120;0.860;120.0;pop
Olmazlara Inat;Dedubluman;0.590;0.550;2;-8.600;0.040;0.420;0.050;0.110;0.410;110.0;indie
Dunya Donuyor;Seksendort;0.470;0.640;0;-7.700;0.034;0.100;0.004;0.150;0.330;124.0;rock
Yikik;Buray;0.790;0.680;3;-6.000;0.052;0.200;0.000;0.130;0.790;122.0;pop
Ben Hala Canim;Sila;0.650;0.520;5;-8.500;0.038;0.460;0.000;0.100;0.480;108.0;pop
Sarhos;Motive;0.770;0.720;2;-6.900;0.300;0.120;0.000;0.140;0.530;98.0;rap
Nefes Bile Almadan;Model;0.610;0.580;7;-8.000;0.041;0.290;0.010;0.120;0.450;112.0;indie
Gul Pembe;Baris Manco;0.540;0.620;1;-9.700;0.032;0.410;0.040;0.100;0.470;114.0;anatoly-rock
Yan Benimle;Tarkan;0.830;0.850;4;-4.900;0.060;0.120;0.000;0.210;0.940;128.0;pop
Askim;Kenan Dogulu;0.790;0.760;2;-5.800;0.054;0.170;0.000;0.140;0.880;126.0;pop
